Name,Brand,Price,Rating,Processor_name,Threads,RAM_GB,RAM_type,Storage,Storage_type,Graphics_name,Display_size,Touch_screen,OS
Samsung Galaxy Book2,Samsung,72990,2.85,Intel Core i5,16,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,13.3,TRUE,Windows 11 OS
HP Envy x360,HP,96999,2.81,Intel Core Ultra,14,16,LPDDR5,512, SSD,Integrated Intel Graphics,14,TRUE,Windows 11 OS
HP Omen 16,HP,138990,3.29,Intel Core i7,28,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,16.1,FALSE,Windows 11 OS
Dell G15 5530,Dell,99990,3.33,Intel Core i7,12.81790123,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4050,15.6,FALSE,Windows 11 OS
Lenovo Yoga Slim,Lenovo,64990,2.88,Intel Core i5,16,16,LPDDR5,512, SSD,Intel Integrated Iris Xe,14,FALSE,Windows 11 OS
Lenovo IdeaPad Slim,Lenovo,32990,2.91,Intel Core i3,8,8,DDR4,512, SSD,‎Intel UHD Graphics,15.6,FALSE,Windows 11 OS
HP 15s fq5329TU,HP,47990,2.78,Intel Core i5,12,8,DDR4,512, SSD,Intel Integrated Iris Xe,15.6,FALSE,Windows 11 OS
Acer Aspire 7,Acer,53990,3.32,Intel Core i5,12,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,15.6,FALSE,Windows 11 OS
Infinix Zerobook 2023,Infinix,74990,3.31,Intel Core i9,20,32,LPDDR5X,1000, SSD,Intel Integrated Iris Xe,15.6,FALSE,Windows 11 OS
Asus Vivobook 16X,Asus,86990,3.23,Intel Core i7,16,16,DDR4,512, SSD,NVIDIA Geforce RTX 4050,16,FALSE,Windows 11 OS
HP 255 G9,HP,19979,2.98,AMD Athlon,2,4,DDR4,256, SSD,AMD Integrated,15.6,FALSE,DOS OS
MSI Modern 14,MSI,37990,3.18,AMD Ryzen 5,12,16,DDR4,512, SSD,AMD Radeon AMD,14,FALSE,Windows 11 OS
Dell Vostro 3520,Dell,48990,2.77,Intel Core i5,12,8,DDR4,512, SSD,Intel Iris Xe Graphics,15.6,FALSE,Windows 11 OS
Asus Vivobook 15,Asus,31990,2.92,Intel Core i3,4,8,DDR4,512, SSD,Intel Integrated UHD Graphics,15.6,TRUE,Windows 11 OS
